id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
149077581,Методи та засоби тестування захищеності REST API. Фазінг REST API,"Гах, Валерій Олександрович",2023,,String A,EXCLUDE,IC1 - Not in English,,
149190100,Adaptive REST API Testing with Reinforcement Learning,"Kim, Myeongsoo, Orso, Alessandro, Sinha, Saurabh",2023,arXiv,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
149403993,API Server for BUT IS,"Mudrák, Ivan",2023,,String A,Unsure,,Exclude,EC3 - Too short / format issues
149779355,A Lime-Flavored REST API for Alignment Services,"Armando Stellato, Manuel Fiorelli",2023,,String A,Unsure,,Exclude,EC3 - Too short / format issues
150357043,DSL-driven Integration of OpenAPI based Web Services into DIME,"Steffen, Bruno",2023,,String A,Unsure,,Exclude,EC3 - Too short / format issues
150890236,Automated Black-box Testing of Mass Assignment Vulnerabilities in RESTful APIs,"Davide Corradini, Mariano Ceccato, Michele Pasqua",2023,IEEE,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
152127785,FuzzTheREST - Intelligent Automated Blackbox RESTful API Fuzzer,"Dias, Tiago Fontes",2023,,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
152873361,Exploring Behaviours of RESTful APIs in an Industrial Setting,"Causevic, Adnan, Jongeling, Robbert, Karlsson, Stefan, Sundmark, Daniel",2024,arXiv,String A,Unsure,,Exclude,EC3 - Too short / format issues
153739927,Microservice API Evolution in Practice: A Study on Strategies and   Challenges,"Glock, Johann, Lercher, Alexander, Macho, Christian, Pinzger, Martin",2024,arXiv,String A,EXCLUDE,EC5 - Not about test generation,,
156879038,Инструменты разработки и тестирования веб-сервиса с интерфейсом REST API для расчета показателей газодинамики доменной плавки,"Гурин, И. А., Лавров, В. В., Спирин, Н. А., Уланов, И. С.",2024,,String A,EXCLUDE,IC1 - Not in English,,
156879170,Разработка веб-сервиса для расчета проектных показателей теплового режима при изменении режимных и конструктивных параметров доменной печи,"Гурин, И. А., Лавров, В. В., Спирин, Н. А., Шамсимухаметов, П. Р.",2024,,String A,EXCLUDE,IC1 - Not in English,,
157633917,You Can REST Now: Automated Specification Inference and Black-Box   Testing of RESTful APIs with Large Language Models,"Decrop, Alix, Devroey, Xavier, Papadakis, Mike, Perrouin, Gilles, Schobbens, Pierre-Yves",2024,arXiv,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
161305893,dtool and dserver: A flexible ecosystem for findable data,"Hartley, Matthew, Holey, Hannes, Hörmann, Johannes L., Olsson, Tjelvar S. G., Pastewka, Lars, Sanner, Antoine, Vazhappilly, Ashwin, Yanes, Luis",2024,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
161779331,DeepREST: Automated Test Case Generation for REST APIs Exploiting Deep Reinforcement Learning,"Ceccato, Mariano, Corradini, Davide, Montolli, Zeno, Pasqua, Michele",2024,ACM,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
163759405,OAS DB: A Repository of Specifications to Support OpenAPI Research,"Chaim, Marcos Lordello, Cruzes, Daniela Soares, Oyetoyan, Tosin Daniel, Stoll, Alex Braha",2024,,String A,Unsure,,Exclude,EC3 - Too short / format issues
164418596,Backend Infrastructure and Specifications Design Using OpenAPI and API-First on CV Elang Java Mandiri,"Anwar, Nizirwan, Ari Widatama, Yohanes Bagas, Ichwani, Arief, Widodo, Agung Mulyo",2024,,String A,Unsure,,Exclude,EC3 - Too short / format issues
168494594,Adaptable Costs Evaluator,Tomáš Patro,2025,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
169085924,Testing RESTful APIs: A Survey,"Arcuri, Andrea, Golmohammadi, Amid, Zhang, Man",2023,ACM,String A,EXCLUDE,IC5 - Survey paper,,
169296593,Building a prototype of web API honeypot for Electric Vehicle Charging Network operators,"Mammadov, Alakbar",2025,,String A,Unsure,,Exclude,EC3 - Too short / format issues
170457222,Mining REST APIs for Potential Mass Assignment Vulnerabilities,"Corradini, Davide, Ghafari, Mohammad, Mazidi, Arash",2024,arXiv,String A,Unsure,,Exclude,EC3 - Too short / format issues
172919760,Information System for Draw Competitions,Hlib Yarovyi,2025,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
268329715,Leveraging Natural Language Processing and Data Mining to Augment and Validate APIs,"Decrop, Alix",2024,,String A,Unsure,,Exclude,EC3 - Too short / format issues
268334771,A Public Benchmark of REST APIs,"Decrop, Alix, Devroey, Xavier, Eraso, Sara, Perrouin, Gilles",2025,,String A,Unsure,,Exclude,EC3 - Too short / format issues
274074893,Fuzzing frameworks for server-side web applications:a survey,"Athanasopoulos, Elias, Dharmaadi, I. Putu Arya, Turkmen, Fatih",2025,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
279676344,KAT: Dependency-aware Automated API Testing with Large Language Models,"Cao, Duy, Le, Tri, Le, Vy, Nguyen, Tien, Nguyen, Vu, Tran, Thien",2025,arXiv,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
290394930,Modernin REST API:n toteutus ja optimointi ASP.NET Corella,"Heikkilä, Joona",2025,,String A,Unsure,,Exclude,EC3 - Too short / format issues
290399012,A comparative analysis of modern programming languages in REST API development,"Viitanen, Tuukka",2025,,String A,EXCLUDE,EC5 - Not about test generation,,
290420428,Implementation of a mobile e-commerce platform for small business,"Volotovskaya, Kristina",2025,,String A,EXCLUDE,EC4 - Out of domain,,
290421019,Tunnistautumis- ja autorisointipalvelun toteuttaminen dokumenttien hallintasovellukselle,"Lammassaari, Tuomas",2025,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
294342718,Stateful Security Testing of Web APIs,Gédsimon Soares Pereira,2025,,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
294350365,Security Testing of Web APIs,Gonçalo André Carneiro Teixeira,2025,,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
294904871,Generating Backend Applications with REST API in Haskell,Daniel Blažek,2025,,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
295908352,RESTgym: A Flexible Infrastructure for Empirical Assessment of Automated REST API Testing Tools,"Davide Corradini, Mariano Ceccato, Michele Pasqua",2025,,"String A, String B",INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
299677946,Log-driven Testing of Microservice Systems with Transformers,"Raffaele Della Corte, Roberto Pietrantuono, Stefano Russo",2025,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
300217997,JepREST 2.0 Testing REST Applications With Customized Semantics,"Riveiro, Rafael de Albuquerque",2025,,String A,INCLUDE,IC1-IC4,Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
301764887,AI Assisted BIM Query System,"Perov, Ivan",2025,,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
